code,name,status,ok_1d,ok_1m,count_1d,count_1m
600051.SH,宁波联合,Success,True,True,513,6522
605090.SH,九丰能源,Success,True,True,513,6523
600025.SH,华能水电,Success,True,True,513,6522
601222.SH,林洋能源,Success,True,True,513,6523
688031.SH,星环科技-U,Success,True,True,513,6523
603335.SH,迪生力,Success,True,True,513,6523
688045.SH,必易微,Success,True,True,513,6523
603341.SH,龙旗科技,Success,True,True,476,6523
600967.SH,内蒙一机,Success,True,True,513,6523
603237.SH,五芳斋,Success,True,True,513,6522
688528.SH,秦川物联,Success,True,True,513,6523
688133.SH,泰坦科技,Success,True,True,513,6523
603658.SH,安图生物,Success,True,True,513,6523
600865.SH,百大集团,Success,True,True,513,6523
688147.SH,微导纳米,Success,True,True,513,6523
605589.SH,圣泉集团,Success,True,True,513,6523
600153.SH,XD建发股,Success,True,True,513,6523
600548.SH,深高速,Success,True,True,513,6523
688805.SH,健信超导,Success,True,True,34,6523
600127.SH,金健米业,Success,True,True,513,6523
688343.SH,云天励飞-U,Success,True,True,513,6523
688758.SH,赛分科技,Success,True,True,265,6523
603033.SH,三维股份,Success,True,True,513,6523
603999.SH,读者传媒,Success,True,True,513,6523
688337.SH,普源精电,Success,True,True,508,6523
600738.SH,丽尚国潮,Success,True,True,513,6523
600323.SH,瀚蓝环境,Success,True,True,513,6523
601866.SH,中远海发,Success,True,True,513,6523
600221.SH,海航控股,Success,True,True,513,6523
600255.SH,鑫科材料,Success,True,True,513,6523
605208.SH,永茂泰,Success,True,True,513,6523
601026.SH,道生天合,Success,True,True,82,6523
688235.SH,百济神州-U,Success,True,True,513,6523
603131.SH,上海沪工,Success,True,True,513,6523
601801.SH,皖新传媒,Success,True,True,513,6523
603916.SH,苏博特,Success,True,True,513,6523
600330.SH,天通股份,Success,True,True,513,6523
605319.SH,无锡振华,Success,True,True,513,6523
688350.SH,富淼科技,Success,True,True,513,6523
603020.SH,爱普股份,Success,True,True,513,6523
601137.SH,博威合金,Success,True,True,513,6523
688252.SH,天德钰,Success,True,True,513,6523
603156.SH,养元饮品,Success,True,True,513,6523
603888.SH,新华网,Success,True,True,513,6523
688226.SH,威腾电气,Success,True,True,513,6523
603122.SH,合富中国,Success,True,True,513,6523
600629.SH,华建集团,Success,True,True,513,6523
600232.SH,金鹰股份,Success,True,True,513,6523
603860.SH,中公高科,Success,True,True,513,6523
600246.SH,万通发展,Success,True,True,513,6523
605287.SH,德才股份,Success,True,True,513,6523
688439.SH,振华风光,Success,True,True,513,6523
601231.SH,环旭电子,Success,True,True,513,6523
688022.SH,瀚川智能,Success,True,True,513,6523
603326.SH,我乐家居,Success,True,True,513,6523
600900.SH,长江电力,Success,True,True,513,6523
688056.SH,莱伯泰科,Success,True,True,513,6523
603352.SH,至信股份,Success,True,True,20,4595
600459.SH,贵研铂业,Success,True,True,513,6523
600036.SH,招商银行,Success,True,True,513,6523
688816.SH,N易思,Success,True,True,1,16
605169.SH,洪通燃气,Success,True,True,513,6523
600802.SH,福建水泥,Success,True,True,513,6523
601333.SH,广深铁路,Success,True,True,513,6523
688120.SH,华海清科,Success,True,True,513,6523
601728.SH,中国电信,Success,True,True,513,6523
600876.SH,凯盛新能,Success,True,True,513,6523
603170.SH,宝立食品,Success,True,True,513,6523
600693.SH,东百集团,Success,True,True,513,6523
600288.SH,大恒科技,Success,True,True,513,6523
688200.SH,华峰测控,Success,True,True,513,6524
688687.SH,凯因科技,Success,True,True,513,6524
603198.SH,迎驾贡酒,Success,True,True,513,6524
603583.SH,捷昌驱动,Success,True,True,513,6524
601827.SH,三峰环境,Success,True,True,513,6524
688785.SH,恒运昌,Success,True,True,11,2427
600316.SH,洪都航空,Success,True,True,513,6524
600362.SH,江西铜业,Success,True,True,513,6524
600779.SH,水井坊,Success,True,True,513,6524
603072.SH,天和磁材,Success,True,True,270,6524
688376.SH,美埃科技,Success,True,True,513,6524
603006.SH,联明股份,Success,True,True,513,6524
600791.SH,京能置业,Success,True,True,513,6524
601111.SH,中国国航,Success,True,True,513,6524
688719.SH,爱科赛博,Success,True,True,513,6524
688302.SH,海创药业-U,Success,True,True,513,6524
600166.SH,福田汽车,Success,True,True,513,6524
603685.SH,晨丰科技,Success,True,True,513,6524
688581.SH,安杰思,Success,True,True,513,6524
600509.SH,天富能源,Success,True,True,513,6524
603202.SH,天有为,Success,True,True,198,6524
603619.SH,中曼石油,Success,True,True,513,6524
600824.SH,益民集团,Success,True,True,513,6524
600595.SH,中孚实业,Success,True,True,513,6524
688106.SH,金宏气体,Success,True,True,513,6524
603276.SH,恒兴新材,Success,True,True,513,6524
600850.SH,电科数字,Success,True,True,513,6524
688172.SH,燕东微,Success,True,True,513,6524
688569.SH,铁科轨道,Success,True,True,513,6524
600497.SH,驰宏锌锗,Success,True,True,513,6524
688004.SH,博汇科技,Success,True,True,513,6524
603300.SH,海南华铁,Success,True,True,513,6524
600926.SH,杭州银行,Success,True,True,513,6524
601678.SH,滨化股份,Success,True,True,513,6524
688070.SH,纵横股份,Success,True,True,513,6524
600064.SH,南京高科,Success,True,True,513,6524
688098.SH,申联生物,Success,True,True,513,6524
600010.SH,包钢股份,Success,True,True,513,6524
603787.SH,新日股份,Success,True,True,513,6524
603211.SH,晋拓股份,Success,True,True,513,6524
600586.SH,金晶科技,Success,True,True,513,6524
688115.SH,思林杰,Success,True,True,513,6524
