2026-02-11 15:31:57 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 15:31:57 - SentimentArbitrageEA - INFO - 情绪套利策略 EA 启动
2026-02-11 15:31:57 - SentimentArbitrageEA - INFO - 日志文件: logs/ea_strategy.log
2026-02-11 15:31:57 - SentimentArbitrageEA - INFO - 日志级别: INFO
2026-02-11 15:31:57 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 15:31:57 - SentimentArbitrageEA - WARNING - xtquant 未安装，数据适配器将使用模拟模式
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 情绪套利策略 EA 启动
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 日志文件: logs/ea_strategy.log
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 日志级别: DEBUG
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 开始板块扫描（9:25）
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - ============================================================
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 获取板块列表: 6709 个板块
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 共 6709 个板块待扫描
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 获取全市场股票列表: 5190 只
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 获取全市场 5190 只股票的竞价数据...
2026-02-11 23:56:14 - SentimentArbitrageEA - INFO - 使用日期: 20260210 (非交易时间使用昨天数据)
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 批量请求行情数据: 5190 只股票, 2 个字段
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 上期所 股票列表: 5693 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 上证A股 股票列表: 2307 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 上证B股 股票列表: 42 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 上证期权 股票列表: 760 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 上证转债 股票列表: 187 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 中金所 股票列表: 784 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 京市A股 股票列表: 298 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 创业板 股票列表: 1392 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 大商所 股票列表: 2517 只
2026-02-11 23:56:25 - SentimentArbitrageEA - DEBUG - 获取板块 沪市ETF 股票列表: 845 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪市债券 股票列表: 21308 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪市基金 股票列表: 1017 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪市指数 股票列表: 200 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪深A股 股票列表: 5190 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪深B股 股票列表: 80 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪深ETF 股票列表: 1451 只
2026-02-11 23:56:26 - SentimentArbitrageEA - DEBUG - 获取板块 沪深京A股 股票列表: 5488 只
