序号,标题,URL
1,5年11倍，10年110倍，由A7到A8——我的2025，一个赌徒的年终独白,https://xueqiu.com/4327270746/368731272
2,由当代人生规划谈起的魏晋风骨与宋明家国情怀,https://xueqiu.com/4327270746/357314127
3,人间正道是沧桑,https://xueqiu.com/4327270746/356157944
4,巴菲特的安全冗余,https://xueqiu.com/4327270746/355310682
5,这轮牛市的三层逻辑,https://xueqiu.com/4327270746/347856612
6,持有等于买入吗？,https://xueqiu.com/4327270746/346215315
7,普通人应该选择投机还是价值投资,https://xueqiu.com/4327270746/342349134
8,谈价值,https://xueqiu.com/4327270746/336724406
9,（2）我为什么不喜欢小米与比亚迪（第二篇）,https://xueqiu.com/4327270746/326472434
10,我为什么不喜欢小米与比亚迪,https://xueqiu.com/4327270746/325949863
11,轮回与发展,https://xueqiu.com/4327270746/321742516
12,十年一觉扬州梦,https://xueqiu.com/4327270746/318924440
13,高福利会养无用之人吗,https://xueqiu.com/4327270746/316630074
14,要相信相信的力量,https://xueqiu.com/4327270746/296307809
15,狩猎与农耕——论市场的两种交易模式,https://xueqiu.com/4327270746/292448562
16,写在新一轮牛市前夕,https://xueqiu.com/4327270746/292040915
17,甲辰龙历新年寄语——新桃换旧符,https://xueqiu.com/4327270746/278523060
18,以正合，以奇胜,https://xueqiu.com/4327270746/274546845
19,凯旋（2024）,https://xueqiu.com/4327270746/273085782
20,消费电子未来展望,https://xueqiu.com/4327270746/262755568
21,对于现代货币理论（MMT）的思考,https://xueqiu.com/4327270746/257657089
22,沉思录（2）,https://xueqiu.com/4327270746/255185723
23,由制造业指数下滑谈起,https://xueqiu.com/4327270746/249324147
24,《深海》剧情解读兼谈审美,https://xueqiu.com/4327270746/240537185
25,凯旋（2023）,https://xueqiu.com/4327270746/239031167
26,西方文明探索（2）希伯来人的遗产,https://xueqiu.com/4327270746/233315401
27,西方文明探索（1）古希腊文明,https://xueqiu.com/4327270746/233135663
28,对于价值投资的最终思考,https://xueqiu.com/4327270746/232939839
29,关于读《易经》,https://xueqiu.com/4327270746/231484189
30,放弃价值，拥抱择时,https://xueqiu.com/4327270746/229288389
31,谈认知,https://xueqiu.com/4327270746/224972987
32,成长性与周期,https://xueqiu.com/4327270746/220678429
33,人类的审美实质,https://xueqiu.com/4327270746/219253828
34,说说关于熊市的去杠杆,https://xueqiu.com/4327270746/218397706
35,论道德的产生与发展,https://xueqiu.com/4327270746/217199763
36,2022就是1979,https://xueqiu.com/4327270746/216355928
37,只有有增量的社会才是人类幸福的基础,https://xueqiu.com/4327270746/216345005
38,所谓的中年危机其实就是一场人生内卷,https://xueqiu.com/4327270746/213626053
39,论平均主义下的“无用之人”,https://xueqiu.com/4327270746/211949555
40,估值就是认知,https://xueqiu.com/4327270746/209913305
41,凯旋（2022）,https://xueqiu.com/4327270746/207726965
42,一只股票里面的资金结构,https://xueqiu.com/4327270746/207637535
43,炒股需要什么能力,https://xueqiu.com/4327270746/207548000
44,价值投资是一个高胜率但却是一个低赔率的策略,https://xueqiu.com/4327270746/202604295
45,博弈的核心是什么,https://xueqiu.com/4327270746/201878257
46,罗尔斯的正义论与无知的面纱,https://xueqiu.com/4327270746/197129466
47,齐文姜,https://xueqiu.com/4327270746/196692603
48,元宇宙是个什么鬼,https://xueqiu.com/4327270746/195819387
49,价值的本质是什么,https://xueqiu.com/4327270746/182512561
50,请不要把你的平庸当成真理去布道,https://xueqiu.com/4327270746/181691169
51,变与不变,https://xueqiu.com/4327270746/180479064
52,散户要学习巴菲特什么？,https://xueqiu.com/4327270746/178880834
53,如何控制回撤,https://xueqiu.com/4327270746/178587916
54,直挂云帆济沧海,https://xueqiu.com/4327270746/175228107
55,四季,https://xueqiu.com/4327270746/169744838
56,巴菲特的收费标准,https://xueqiu.com/4327270746/167406151
57,凯旋 （2021）,https://xueqiu.com/4327270746/167362184
58,关于永生，马斯克的脑机接口与人类社会的资源分配以及火星移民,https://xueqiu.com/4327270746/166789398
59,说说投资中的反人性,https://xueqiu.com/4327270746/165617711
60,橘生淮南则为橘生于淮北则为枳,https://xueqiu.com/4327270746/165583693
61,炒股与修仙,https://xueqiu.com/4327270746/165187933
62,潇湘夜雨,https://xueqiu.com/4327270746/163933576
63,朝圣文化,https://xueqiu.com/4327270746/160395441
64,哑铃策略与黑天鹅——谈谈我目前的交易体系,https://xueqiu.com/4327270746/159314637
65,黄金,https://xueqiu.com/4327270746/156132692
66,我们投资究竟投的是什么？,https://xueqiu.com/4327270746/154395639
67,谁是我们的朋友，谁是我们的敌人？（牛市的灵魂拷问）,https://xueqiu.com/4327270746/153628442
